1 1 1 1
348 324 348 84 a
348 124 498 124 a
308 84 508 84 a
508 84 508 124 a
498 124 548 164 a
548 164 568 164 a
568 164 568 154 a
568 154 548 154 a
548 154 508 124 a
348 324 308 324 a
308 324 188 284 a
188 284 148 164 a
148 164 148 84 a
148 84 208 84 a
208 84 208 124 a
208 124 228 154 a
228 154 288 154 a
288 154 308 124 a
308 124 308 84 a
548 144 568 144 a
568 144 588 134 a
588 134 598 114 a
598 114 598 94 a
598 94 588 74 a
588 74 568 64 a
568 64 548 64 a
548 64 528 74 a
528 74 518 94 a
518 94 518 114 a
518 114 528 134 a
528 134 548 144 a
188 244 238 244 a
238 244 238 194 a
238 194 178 194 a
178 194 188 244 a
248 144 268 144 a
268 144 288 134 a
288 134 298 114 a
298 114 298 94 a
298 94 288 74 a
288 74 268 64 a
268 64 248 64 a
248 64 228 74 a
228 74 218 94 a
218 94 218 114 a
218 114 228 134 a
228 134 248 144 a
